,Year,Month,Monthly hours worked in all jobs (000),Monthly hours worked in all jobs Males(000),Monthly hours worked in all jobs Females(000),Monthly hours worked in all jobs (employed full-time) (000),Monthly hours worked in all jobs (employed full-time) Males(000),Monthly hours worked in all jobs (employed full-time) Females(000),Monthly hours worked in all jobs (employed part-time) (000),Monthly hours worked in all jobs (employed part-time) Males(000),Monthly hours worked in all jobs (employed part-time) Females(000),Monthly hours worked in all jobs New South Wales(000),Monthly hours worked in all jobs Victoria(000),Monthly hours worked in all jobs Queensland(000),Monthly hours worked in all jobs South Australia(000),Monthly hours worked in all jobs Western Australia(000),Monthly hours worked in all jobs Tasmania(000),Monthly hours worked in all jobs Northern Territory(000),Monthly hours worked in all jobs Australian Capital Territory(000),Monthly worked hour growth (000),Monthly worked hour growth Males (000),Monthly worked hour growth Females (000),Monthly full-time worked hour growth (000),Monthly part-time worked hour growth (000),Monthly hours worked per thousand people New South Wales(000),Monthly hours worked per thousand people Victoria(000),Monthly hours worked per thousand people Queensland(000),Monthly hours worked per thousand people South Australia(000),Monthly hours worked per thousand people Western Australia(000),Monthly hours worked per thousand people Tasmania(000),Monthly hours worked per thousand people Northern Territory(000),Monthly hours worked per thousand people Australian Capital Territory(000)
1978-07-01,1978,7,906917.146005,636749.090719,270168.055286,846575.86236,622924.16491,223651.69745,60341.283645,13824.925809,46516.357836,319478.43958,249011.09627,131959.99206,82217.092739,79509.346983,24538.69999,6550.1753891,13652.293348,,,,,,39.35432860064055,37.55880122927948,25.796108310038118,46.8073400165101,30.224795477457615,45.823902875817,26.670095232491857,31.890430619014246
1978-08-01,1978,8,910261.409291,638690.515294,271570.893997,848287.97351,624626.9648,223661.00871,61973.435781,14063.550494,47909.885287,319990.40043,245456.80513,136850.97108,82068.857997,79906.162876,24947.645679,7184.4258321,13856.137476,3344.2632860000012,1941.42457500007,1402.8387109999894,1712.1111500000115,1632.152135999997,39.41739349963045,37.022700965323764,26.75221798064705,46.72294790606319,30.375641631566946,46.5875736302521,29.25254817630293,32.366590693763136
1978-09-01,1978,9,908742.044869,638469.929048,270272.115821,849503.28647,625191.25534,224312.03113,59238.758399,13278.673708,45960.084691,320169.00502,247857.14576,134200.42195,82034.50762,78889.546061,24706.210769,7236.9332597,13648.258421,-1519.3644220000133,-220.58624600002076,-1298.7781759999925,1215.3129600000102,-2734.6773820000017,39.43939455777285,37.384748753374865,26.234077206529175,46.70339175633362,29.989183479434352,46.13671478804856,29.466340633957657,31.88100542163046
1978-10-01,1978,10,909320.089079,640956.618537,268363.470542,849435.03284,627249.69017,222185.34267,59885.056239,13706.928367,46178.127872,320941.55111,247276.9692,134810.65548,81275.088219,79188.262652,24679.741067,7427.9096832,13719.947305,578.04421000008,2486.6894890000112,-1908.6452789999894,-68.25363000005018,646.2978399999993,39.53455914141414,37.297239656706736,26.353368288534842,46.271043677198975,30.10273802630579,46.08728490569561,30.243931934853418,32.04846368839056
1978-11-01,1978,11,908325.209889,639978.194999,268347.01489,848348.88554,626672.91355,221675.97199,59976.324349,13305.281449,46671.0429,319252.51862,247002.04193,135170.45502,81993.677167,78767.051099,25253.425831,7247.091346,13638.902489,-994.8791900000069,-978.4235379999736,-16.455652000033297,-1086.1472999999532,91.26811000000453,39.32649896772604,37.25577187137061,26.4237034542078,46.680146408767435,29.942618071542615,47.15859165452848,29.50770092019544,31.859150873627655
1978-12-01,1978,12,913557.167218,643910.157141,269647.010077,852567.91916,630429.82006,222138.0991,60989.248058,13480.337081,47508.910977,321426.00721,246632.55195,138294.47906,82440.452187,78882.232397,25030.18751,7399.1668525,13452.078973,5231.957328999997,3931.962141999975,1299.9951870000223,4219.033620000002,1012.9237089999951,39.594235921409215,37.20004101871823,27.034401145538073,46.93450167207515,29.98640325287007,46.74171337068161,30.126900865228013,31.422749294557345
1979-01-01,1979,1,911652.966905,643681.456779,267971.510126,851066.19424,629657.74871,221408.44553,60586.772665,14023.708069,46563.064596,319050.461,250341.94793,137360.66197,82722.506108,76570.174846,24841.851923,7222.5863054,13542.775168,-1904.2003130000085,-228.70036200003233,-1675.4999510000343,-1501.724920000066,-402.4753930000006,39.301608893816216,37.75953603070936,26.851854553807055,47.095078911471674,29.107494429407737,46.390012928104575,29.407924696254074,31.634606792805418
1979-02-01,1979,2,916227.109594,645920.669392,270306.440202,856327.24959,633397.5291,222929.72049,59899.860004,12523.140292,47376.719712,322231.2076,249068.63448,137377.25454,82958.343432,79052.720476,25237.96034,6994.5858518,13306.293743,4574.142689,2239.2126129999524,2334.930076000048,5261.055350000039,-686.9126609999948,39.69342296132052,37.56747982322509,26.85509814094419,47.229344396242524,30.051212832053526,47.12971118580766,28.47958408713355,31.082209163746786
1979-03-01,1979,3,917850.199265,648064.935022,269785.264243,857891.62712,634776.12951,223115.49761,59958.572145,13288.805512,46669.766633,321654.28125,251861.46896,136425.91579,82191.373273,79976.266286,25936.087092,7398.3345438,12406.489577,1623.089670999907,2144.265630000038,-521.1759590000147,1564.3775299999397,58.712140999996336,39.62235541389505,37.988728179912215,26.66912633955625,46.79269756504412,30.402290840872805,48.43340259943978,30.123511986156352,28.980354069142724
1979-04-01,1979,4,926632.193651,654368.178066,272264.015585,864379.9904,640594.02427,223785.96613,62252.203251,13774.153796,48478.049455,321872.95944,252911.71585,142469.71163,82315.168988,80387.519891,26087.603768,7557.543186,13029.964108,8781.994386000093,6303.243044000003,2478.751341999974,6488.363280000049,2293.6311060000007,39.649292860310425,38.14713884824809,27.850593613527515,46.86317619584401,30.558625367216607,48.716346905695616,30.771755643322475,30.436729988320483
