,Year,Month,Employment to population ratio (%),Employment to population ratioMales (%),Employment to population ratioFemales (%),Unemployment rate (%),Unemployment rate looked for full-time work (%),Unemployment rate looked for full-time workMales (%),Unemployment rate looked for full-time workFemales (%),Unemployment rate looked for only part-time work (%),Unemployment rate looked for only part-time workMales (%),Unemployment rate looked for only part-time workFemales (%),Participation rate (%),Employed total (000),Employed totalMales (000),Employed totalFemales (000),Employed full-time (000),Employed full-timeMales (000),Employed full-timeFemales (000),Employed part-time (000),Employed part-timeMales (000),Employed part-timeFemales (000),Unemployed total (000),Unemployed totalMales (000),Unemployed totalFemales (000),Unemployed looked for full-time work (000),Unemployed looked for full-time workMales (000),Unemployed looked for full-time workFemales (000),Unemployed looked for only part-time work (000),Unemployed looked for only part-time workMales (000),Unemployed looked for only part-time workFemales (000),Unemployment rateMales (000),Unemployment rateFemales (000),Labour force total (000),Labour force totalMales (000),Labour force totalFemales (000),Participation rateMales (000),Participation rateFemales (000),Not in the labour force (000),Employed total growth (000),Full-time employed growth (000),Part-time employed growth (000)
1978-02-01,1978,2,57.1786415,75.0179693,39.8162819,6.6453471,6.5284914,5.4466522,9.2582161,7.2866335,8.7970107,6.853704,61.2488395,5997.6563813,3881.1311333,2116.525248,5079.5623915,3679.9303561,1399.6320354,918.0939897,201.2007772,716.8932126,426.9364957,231.3856335,195.5508622,354.7806172,211.9787543,142.8018629,72.1558785,19.4068792,52.7489993,5.6263754,8.4578038,6424.592877,4112.5167668,2312.0761102,79.4903975,43.4950041,4064.7370914478097,,,
1978-03-01,1978,3,57.1264655,74.9537633,39.7776617,6.3034399,6.2328492,5.1761564,8.9019103,6.6976941,7.6984278,6.423137,60.9696508,6003.2151253,3884.7388001,2118.4763253,5095.4109065,3691.3940326,1404.0168739,907.8042189,193.3447675,714.4594514,403.8665415,217.62836,186.2381815,338.6999314,201.5024078,137.1975235,65.1666101,16.1259522,49.0406579,5.3049459,8.0807484,6407.0816668,4102.3671601,2304.7145068,79.1527753,43.2745709,4101.559243441198,5.558743999999933,15.848515000000589,-10.289770799999928
1978-04-01,1978,4,57.3347483,74.9615245,40.183024,6.2681102,6.204462,5.261734,8.5685057,6.6241105,7.282527,6.4470315,61.1688812,6030.8507968,3888.624588,2142.2262088,5119.6237529,3696.8564954,1422.7672576,911.2270439,191.7680926,719.4589513,403.2996394,220.3847588,182.9148806,338.6569498,205.3222656,133.3346842,64.6426896,15.0624932,49.5801964,5.3634524,7.8668293,6434.1504362,4109.0093468,2325.1410894,79.2099103,43.6140683,4084.515771152506,27.63567150000017,24.212846399999762,3.422824999999989
1978-05-01,1978,5,57.2934009,74.8248864,40.2357353,6.210171,6.18139,5.1749534,8.6893446,6.3709814,6.6287756,6.3015155,61.0870086,6033.3793825,3885.812051,2147.5673315,5119.0499412,3692.2662006,1426.7837407,914.3294413,193.5458504,720.7835909,399.492335,215.2411705,184.2511645,337.2768389,201.50062,135.7762189,62.2154961,13.7405505,48.4749457,5.2484364,7.9016083,6432.8717176,4101.0532215,2331.8184961,78.9695532,43.687772,4097.798984779099,2.528585699999894,-0.5738117000000784,3.1023973999999725
1978-06-01,1978,6,57.2280338,74.6958598,40.2412285,6.3041846,6.317,5.4698786,8.438248,6.2337632,5.8746366,6.3331606,61.0785376,6033.7656501,3882.7573109,2151.0083392,5104.0907526,3680.4533154,1423.6374372,929.6748975,202.3039955,727.3709021,405.9730139,225.5916483,180.3813656,344.1664051,212.9652699,131.2011352,61.8066088,12.6263784,49.1802305,5.4910537,7.7370748,6439.7386641,4108.3489592,2331.3897048,79.0357556,43.6158169,4103.6353542393,0.3862675999998828,-14.959188599999834,15.345456200000058
1978-07-01,1978,7,57.1322593,74.4240297,40.3172816,6.2232576,6.317028,5.4547059,8.4613883,5.7081881,4.4041145,6.0676551,60.923698,6030.5121658,3872.9506471,2157.5615188,5096.6224449,3668.3596697,1428.2627751,933.889721,204.5909773,729.2987436,400.199772,221.0682499,179.1315221,343.6644479,211.6427178,132.0217301,56.5353241,9.4255321,47.109792,5.3997858,7.6660271,6430.7119378,4094.018897,2336.6930408,78.6721577,43.6646235,4124.64197029665,-3.2534843000003093,-7.4683076999999685,4.214823499999966
1978-08-01,1978,8,57.1060282,74.3158606,40.3741331,6.4908623,6.4056582,5.5645131,8.4965787,6.9511952,6.9126702,6.961903,61.0699976,6036.3732684,3872.4590509,2163.9142175,5098.2309744,3668.3347467,1429.8962276,938.142294,204.1243042,734.0179898,419.0100391,231.3111008,187.6989382,348.9262779,216.1528188,132.773459,70.0837612,15.158282,54.9254792,5.6365511,7.9817098,6455.3833075,4103.7701518,2351.6131557,78.754922,43.8762044,4115.082651548933,5.861102599999867,1.6085295000002588,4.252572999999984
1978-09-01,1978,9,56.9547753,74.1412904,40.2461362,6.2526143,6.2485894,5.4150374,8.3163503,6.2748541,6.6595587,6.1693884,60.7534545,6029.7446464,3869.2998208,2160.4448256,5105.9377516,3671.3479887,1434.5897629,923.8068947,197.951832,725.8550627,402.1623371,224.3098111,177.852526,340.3139029,210.1865456,130.1273573,61.8484342,14.1232655,47.7251687,5.4795115,7.6060697,6431.9069835,4093.6096319,2338.2973516,78.4393855,43.5592858,4154.992208380522,-6.628621999999268,7.706777200000033,-14.335399299999949
1978-10-01,1978,10,56.9503325,74.1885712,40.1937594,6.1640335,6.1841955,5.356925,8.2398661,6.0529094,6.6450927,5.8873458,60.6913688,6035.7619721,3875.6576841,2160.104288,5107.7341848,3674.1667778,1433.567407,928.0277873,201.4909063,726.5368811,396.485917,222.3050862,174.1808308,336.6940911,207.9627684,128.7313227,59.791826,14.3423178,45.4495082,5.4247708,7.461849,6432.2478891,4097.9627703,2334.2851188,78.4439771,43.4347985,4166.043130330757,6.017325699999674,1.7964331999992282,4.2208925999999565
1978-11-01,1978,11,56.8007999,74.1386897,39.9530309,6.3326825,6.2364198,5.3163101,8.5350694,6.8606109,8.7330011,6.3397723,60.641002,6028.2280815,3877.7390058,2150.4890757,5103.7954581,3680.5991076,1423.1963504,924.4326235,197.1398981,727.2927253,407.5578896,225.522263,182.0356266,339.4645454,206.6586763,132.8058691,68.0933442,18.8635868,49.2297575,5.4961712,7.8042315,6435.7859711,4103.2612688,2332.5247023,78.4504614,43.3349941,4177.142177910466,-7.533890599999722,-3.938726699999279,-3.595163800000023
1978-12-01,1978,12,56.950501,74.2908781,40.1035243,6.4064237,6.4148131,5.3473644,9.0722502,6.3607884,7.350503,6.0863932,60.8487283,6053.2908731,3891.2216915,2162.0691816,5112.8234593,3689.2359511,1423.5875081,940.4674139,201.9857404,738.4816735,414.3440976,224.4468509,189.8972466,350.4593843,208.421974,142.0374103,63.8847133,16.0248769,47.8598363,5.4534725,8.0739778,6467.6349707,4115.6685424,2351.9664283,78.5759985,43.6258671,4161.403879237642,25.0627915999994,9.02800119999938,16.03479040000002
